UUID,Qty,Self Sourced,Value,Device,Package,Parts,Description
R-2019-15,8,,R,LEDCHIP-LED0805,CHIP-LED0805,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED
R-2019-14,1,,G,LEDCHIPLED_0805,CHIPLED_0805,LED9,LED
R-2019-01,5,,0.1uF,C-EUC0805,C0805,"C1, C2, C3, C4, C7","CAPACITOR, European symbol"
R-2019-44,1,,10nF,C-EUC0805,C0805,C5,"CAPACITOR, European symbol"
R-2019-38,1,,1nF,C-EUC0805,C0805,C6,"CAPACITOR, European symbol"
R-2019-02,1,,330R,R-EU_R0805,R0805,R1,"RESISTOR, European symbol"
R-2019-30,3,,4.7kR,R-EU_R0805,R0805,"R2, R3, R4","RESISTOR, European symbol"
L-2020-48,1,,ATMEGA328PB-AU,ATMEGA328PB-AU,QFP80P900X900X120-32N,U1,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32 Check prices
L-2020-54,1,,MPU-6050,MPU-6050,QFN50P400X400X95-24N,U2,MPU-6050 Six-Axis (Gyro + Accelerometer) MEMS MotionTrackingâ„¢ Devices
L-2019-90,1,,RK-2032,RK-2032,RK-2032,BAT1,
R-2019-19,1,,SL2305,SL2305,SOT95P240X115-3N,Q1,P-Channel Power MOSFET
L-2019-76,1,,SN74HC138PW,SN74HC138PW,SOP65P640X120-16N,U3,
,,,,,,,
,,,,,,,
