Qty,Value,Device,Package,Tolerance,Rating,Parts,Description,LCSC Price 1,LCSC Price 10,LCSC Price 100,LCSC PN,LCSC Link,Digikey Price 1,Digikey Price 10,Digikey Price 100,Digikey PN,Digikey Link,Alt Supplier,Alt Supplier Link
8,R,LEDCHIP-LED0805,CHIP-LED0805,,,"LED1, LED2, LED3, LED4, LED6, LED7, LED8, LED9",LED,,,$0.014157,C72044,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_0603-Red-LED_C72044.html,,,,,,,
1,G,LEDCHIPLED_0805,CHIPLED_0805,,,LED5,LED,,$0.062285,$0.046420, C73546,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_0805-Green_C73546.html,,,,,,,
6,0.1uF,C-USC0805,C0805,5%,50V,"C1, C2, C3, C4, C5, C8","CAPACITOR, American symbol",,,$0.008557,C840115,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_HUI-JU-NL0805B104J500CPBN_C840115.html,,,,,,,
1,10nF,C-USC0805,C0805,5%,50V,C6,"CAPACITOR, American symbol",,,$0.010582,C24666,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805B103J500NT_C24666.html,,,,,,,
1,2.7kR,R-US_R0805,R0805,5%,0.125W,R13,"RESISTOR, American symbol",,,$0.001452,C139908,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RS-05K272JT_C139908.html,,,,,,,
1,2nF,C-USC0805,C0805,5%,50V,C7,"CAPACITOR, American symbol",,,$0.024456,C520022,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0805JRX7R9BB202_C520022.html,,,,,,,
12,330R,R-US_R0805,R0805,5%,0.125W,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12","RESISTOR, American symbol",,,$0.001490,C25306,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8J0331T5E_C25306.html,,,,,,,
2,4.7kR,R-US_R0805,R0805,5%,0.125W,"R14, R15","RESISTOR, American symbol",,,$0.001350,C384092,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Walsin-Tech-Corp-Walsin-Tech-Corp-4-7KR-472-5_C384092.html,,,,,,,
1,ATMEGA328PB-AU,ATMEGA328PB-AU,QFP80P900X900X120-32N,,,U1,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32 Check prices,,,,,,$1.450000,$1.450000,$1.200000,ATMEGA328PB-ANRTR-ND - Tape & Reel (TR),https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328PB-ANR/5722705,,
1,AVRISP-6,AVRISP-6,AVRISP,,,ISP1,AVR ISP HEADER,,,,,,$0.160000,$0.151000,$0.104800,S2212EC-03-ND,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PREC003DFAN-RC/2775011,,
3,FIDUCIAL,FIDUCIAL,FIDUCIAL_1MM,,,"U$4, U$5, U$6","For use by pick and place machines to calibrate the vision/machine, 1mm",,,,,,,,,,,Aliexpress,"https://www.aliexpress.com/item/4000204085959.html?spm=a2g0o.search0302.0.0.6d582517ekrSe2&algo_pvid=5a86ee66-6aff-4fa8-a297-be1123f58e09&algo_expid=5a86ee66-6aff-4fa8-a297-be1123f58e09-0&btsid=0bb0624616028144972961718e21c2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
1,MPU-6050,MPU-6050,QFN50P400X400X95-24N,,,U2,MPU-6050 Six-Axis (Gyro + Accelerometer) MEMS MotionTrackingâ„¢ Devices,$2.663333,$1.961667,$1.703333,C24112,https://lcsc.com/product-detail/Attitude-Sensors_TDK-InvenSense_MPU-6050_TDK-InvenSense-MPU-6050_C24112.html,,,,,,,
1,RK-2032,RK-2032,RK-2032,,,U$3,,,,,,,,,,,,Reekart,http://www.reekart.com/products/30-Surface-Mount-Precision-Metal-Stamping-CR2032-Coin-Cell-Battery-Holder-For-MPD-BC-2003-Replacment.html
1,SK-3296S-01-L1,SK-3296S-01-L1,SK-3296S-01-L1,,,U$2,,,$0.046026,$0.034000,C319020,https://lcsc.com/product-detail/Toggle-Switches_XKB-Connectivity-SK-3296S-01-L1_C319020.html,,,,,, ,
1,SS14,SS14,DO-214AC,,,U$1,Check prices,,,$0.011829,C190475,https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Guangdong-Hottech-SS14L_C190475.html,,,,,,,
