BAT1, 18.80, 35.14, 270.00, RK-2032, RK-2032
C1, 59.69, 46.99, 180.00, 0.1uF, C0805
C2, 43.18, 36.83, 90.00, 0.1uF, C0805
C3, 39.37, 17.78, 270.00, 0.1uF, C0805
C4, 66.04, 43.18, 90.00, 0.1uF, C0805
C5, 66.04, 39.37, 0.00, 10nF, C0805
C6, 54.61, 43.18, 180.00, 2nF, C0805
C7, 40.64, 36.83, 90.00, 0.1uF, C0805
LED1, 22.86, 2.54, 0.00, , CHIP-LED0805
LED2, 27.94, 2.54, 0.00, , CHIP-LED0805
LED3, 33.02, 2.54, 0.00, , CHIP-LED0805
LED4, 38.10, 2.54, 0.00, , CHIP-LED0805
LED5, 48.26, 2.54, 0.00, , CHIP-LED0805
LED6, 53.34, 2.54, 0.00, , CHIP-LED0805
LED7, 58.42, 2.54, 0.00, , CHIP-LED0805
LED8, 63.50, 2.54, 0.00, , CHIP-LED0805
LED9, 43.18, 2.54, 0.00, , CHIPLED_0805
Q1, 22.86, 15.24, 90.00, SL2305, SOT95P240X115-3N
R1, 19.05, 2.54, 90.00, 330R, R0805
R2, 31.75, 35.56, 90.00, 4.7kR, R0805
R3, 36.83, 35.56, 90.00, 4.7kR, R0805
R4, 36.83, 40.64, 270.00, 4.7kR, R0805
U$4, 66.04, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$5, 10.16, 49.53, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$6, 10.16, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 40.64, 27.94, 90.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
U2, 60.96, 41.91, 90.00, MPU-6050, QFN50P400X400X95-24N
U3, 53.34, 24.13, 0.00, SN74HC138PW, SOP65P640X120-16N
